DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
EL VALLE RESTAURANT,BRONX,SOUTHERN BOULEVARD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",17.0,B,08/03/2015,low income
OBICA MOZZARELLA BAR,MANHATTAN,MADISON AVENUE,Italian,13.0,A,05/24/2016,high income
MAXIN BAKERY,QUEENS,MAIN STREET,Bakery,5.0,A,12/17/2015,low income
CAFE CLEMENTINE,MANHATTAN,WEST BROADWAY,Sandwiches/Salads/Mixed Buffet,10.0,A,08/14/2014,high income
REDFARM,MANHATTAN,BROADWAY,Asian,13.0,A,10/08/2013,high income
WOLFGANG'S STEAKHOUSE,MANHATTAN,GREENWICH STREET,Steak,7.0,A,06/13/2016,high income
STARBUCKS,MANHATTAN,LEXINGTON AVENUE,Caf̩/Coffee/Tea,11.0,A,11/17/2014,high income
PRET A MANGER,MANHATTAN,CHURCH STREET,American,13.0,A,02/24/2017,high income
BURGER HEAVEN,MANHATTAN,LEXINGTON AVENUE,Hamburgers,13.0,A,08/24/2015,high income
SILK CAKES,QUEENS,METROPOLITAN AVE,Bakery,7.0,A,07/19/2017,medium income
AZUSA OF JAPAN,MANHATTAN,EAST   44 STREET,Japanese,12.0,A,01/25/2016,high income
THAI POT,QUEENS,QUEENS BLVD,Thai,18.0,B,06/29/2015,medium income
BREADS BAKERY,MANHATTAN,BROADWAY,Bakery,7.0,A,06/29/2016,high income
MANHATTAN ESPRESSO,MANHATTAN,EAST   49 STREET,Caf̩/Coffee/Tea,7.0,A,04/23/2015,high income
MANETTA'S RISTORANTE,QUEENS,JACKSON AVENUE,Italian,12.0,A,04/01/2015,medium income
OH HOT BAGELS & CAFE,QUEENS,21ST ST,Delicatessen,11.0,A,07/26/2016,medium income
TACO VELOZ VIP,BRONX,EAST  138 STREET,Mexican,12.0,A,10/05/2015,low income
THE LEOPARD AT DES ARTISTES,MANHATTAN,WEST   67 STREET,Italian,13.0,A,08/22/2014,high income
MR. CHOW RESTAURANT,MANHATTAN,EAST   57 STREET,Chinese,12.0,A,06/17/2014,high income
THE STUMBLE INN,MANHATTAN,2 AVENUE,American,7.0,A,05/07/2015,high income
OTTO'S SHRUNKEN HEAD,MANHATTAN,EAST   14 STREET,American,9.0,A,11/23/2015,medium income
BANH MI SAIGON BAKERY,MANHATTAN,GRAND STREET,Vietnamese/Cambodian/Malaysia,11.0,A,10/23/2014,high income
RANDOLPH BEER,MANHATTAN,BROOME STREET,American,12.0,A,06/17/2015,high income
KABUL KABAB HOUSE,QUEENS,MAIN STREET,Middle Eastern,12.0,A,08/02/2017,low income
ALIBABA,MANHATTAN,AMSTERDAM AVENUE,Jewish/Kosher,10.0,A,05/17/2016,high income
BENVENUTO CAFE,MANHATTAN,FRANKLIN STREET,American,10.0,A,05/13/2016,high income
RESTAURANT RIKI,MANHATTAN,EAST   45 STREET,Japanese,27.0,B,11/13/2014,high income
16 HANDLES,MANHATTAN,2 AVENUE,"Ice Cream, Gelato, Yogurt, Ices",13.0,A,10/16/2013,high income
AMSTERDAM GOURMET,MANHATTAN,AMSTERDAM AVENUE,Delicatessen,11.0,A,06/14/2016,high income
TEN DEGREES,MANHATTAN,ST MARKS PLACE,American,13.0,A,05/27/2015,medium income
HARNEY & SONS TEA,MANHATTAN,BROOME STREET,Caf̩/Coffee/Tea,24.0,B,07/01/2015,high income
TIGRE'S PIZZA & RESTAURANT,BRONX,EAST  174 STREET,American,9.0,A,11/10/2014,low income
JUAN VALDEZ CAFE,MANHATTAN,EAST   57 STREET,Caf̩/Coffee/Tea,10.0,A,07/31/2015,high income
LUNA PIZZA,MANHATTAN,PARK ROW,Pizza,2.0,A,11/25/2013,high income
SUBWAY,BRONX,JEROME AVENUE,American,8.0,A,03/03/2015,low income
DAVIS POLK DINING ROOM,MANHATTAN,LEXINGTON AVENUE,American,7.0,A,04/28/2015,high income
SUBWAY,MANHATTAN,AVENUE B,Sandwiches,11.0,A,09/14/2016,medium income
LECHONERA & POLLO SABROSO RESTAURANT,BRONX,3 AVENUE,Spanish,13.0,A,03/29/2017,low income
VILLA TAPIA RESTAURANT,BRONX,BROOK AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",25.0,B,03/17/2017,low income
PEACE FOOD CAFE,MANHATTAN,AMSTERDAM AVENUE,American,-1.0,B,09/05/2014,high income
SUPER STAR KTV,QUEENS,SANFORD AVE,Chinese,24.0,B,05/29/2015,low income
THE VILLAGE GREEN,QUEENS,150TH ST,American,3.0,A,06/29/2016,medium income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,Caf̩/Coffee/Tea,11.0,A,09/10/2014,high income
J & J RESTAURANT & CUCHIFRITOS,BRONX,EAST TREMONT AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,06/14/2016,low income
ZARO'S BAKERY,MANHATTAN,EAST   42 STREET,American,13.0,A,10/13/2016,high income
KISSENA CAFE,QUEENS,KISSENA BOULEVARD,Chinese,11.0,A,02/25/2015,low income
CARVEL ICE CREAM,QUEENS,METROPOLITAN AVENUE,"Ice Cream, Gelato, Yogurt, Ices",13.0,A,06/18/2016,medium income
N.Y. ACADEMY OF SCIENCE,MANHATTAN,GREENWICH STREET,American,9.0,A,10/17/2016,high income
MEDITERRANEO,MANHATTAN,2 AVENUE,Italian,22.0,B,11/26/2013,high income
JAVA GIRL,MANHATTAN,EAST   66 STREET,Caf̩/Coffee/Tea,24.0,B,01/07/2015,high income
CJ DIAMOND CAFE,QUEENS,COLLEGE POINT BLVD,Chinese,2.0,A,05/14/2015,low income
THE PERFECT PINT,MANHATTAN,EAST   45 STREET,Irish,12.0,A,09/09/2014,high income
MAYA TAQUERIA,BROOKLYN,VANDERBILT AVENUE,Mexican,10.0,A,06/07/2017,medium income
STARBUCKS,MANHATTAN,COLUMBUS AVENUE,Caf̩/Coffee/Tea,6.0,A,07/18/2017,high income
FOREST HILLS LITTLE LEAGUE,QUEENS,FLEET STREET,American,13.0,A,04/26/2014,medium income
SUBWAY,MANHATTAN,CHURCH STREET,Sandwiches/Salads/Mixed Buffet,12.0,A,05/04/2017,high income
LI'S GARDEN,QUEENS,MAIN ST,Chinese,13.0,A,05/18/2016,low income
WAFELS & DINGES,MANHATTAN,AVENUE B,American,12.0,A,05/22/2017,medium income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,Caf̩/Coffee/Tea,4.0,A,08/12/2014,high income
ALEX CAFE & DELI,MANHATTAN,LEXINGTON AVENUE,American,8.0,A,08/12/2015,high income
TAURO RESTAURANT,MANHATTAN,HUDSON STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,08/01/2014,high income
THE BREUKELEN COFFEE HOUSE,BROOKLYN,FRANKLIN AVENUE,Caf̩/Coffee/Tea,10.0,A,07/14/2016,medium income
LADY M CONFECTIONS,MANHATTAN,EAST   78 STREET,Bakery,11.0,A,10/17/2016,high income
IMPERIAL BIKER BAR,BROOKLYN,FRANKLIN AVENUE,American,17.0,B,02/13/2016,medium income
EMPIRE KING RESTAURANT,BRONX,BOSTON ROAD,Chinese,10.0,A,05/22/2015,low income
TROPICAL II RESTAURANT,QUEENS,GREENPOINT AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",26.0,B,10/28/2016,medium income
AMICI PIZZERIA,STATEN ISLAND,AMBOY ROAD,Italian,11.0,A,03/04/2014,medium income
VALENCIA COFFEE ROOM,BRONX,EDGEWATER ROAD,Caf̩/Coffee/Tea,2.0,A,07/02/2014,low income
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,BROOKLYN,FULTON STREET,Caribbean,4.0,A,11/10/2014,medium income
PRET A MANGER,MANHATTAN,BROADWAY,Sandwiches,12.0,A,11/28/2016,high income
NO. 1 CHINESE RESTAURANT,BRONX,WEST TREMONT AVENUE,Chinese,12.0,A,12/24/2014,low income
JG MELON RESTAURANT,MANHATTAN,3 AVENUE,American,29.0,C,08/12/2015,high income
ALCALA RESTAURANT,MANHATTAN,EAST   44 STREET,Spanish,13.0,A,03/25/2014,high income
BEDLAM,MANHATTAN,AVENUE C,American,13.0,A,06/05/2015,medium income
KING DAVID/MIKIHANA SUSHI,QUEENS,QUEENS BOULEVARD,Jewish/Kosher,13.0,A,03/24/2015,medium income
JUST SALAD,MANHATTAN,BROADWAY,Salads,9.0,A,05/25/2017,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,1ST AVENUE,Mexican,8.0,A,07/24/2017,high income
IL PICCOLO BUFALO,MANHATTAN,MULBERRY STREET,Italian,8.0,A,07/28/2014,high income
TRIBECA GRILL,MANHATTAN,GREENWICH STREET,American,8.0,A,07/06/2015,high income
GRAND SICHUAN EASTERN,MANHATTAN,2 AVENUE,Chinese,13.0,A,03/28/2017,high income
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),MANHATTAN,CENTRAL PARK WEST,American,11.0,A,05/22/2015,high income
EL NUEVO VALLE #2 RESTAURANT LECHONERA,BRONX,EAST  180 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,07/28/2015,low income
JUICE BAR PLUS,MANHATTAN,3 AVENUE,"Juice, Smoothies, Fruit Salads",12.0,A,10/26/2015,high income
THE GREEK,MANHATTAN,GREENWICH STREET,Greek,13.0,A,11/30/2015,high income
ABC BEER CO.,MANHATTAN,AVENUE C,Sandwiches,10.0,A,12/02/2016,medium income
BERGEN BAGELS,BROOKLYN,FULTON STREET,Bagels/Pretzels,8.0,A,05/18/2015,medium income
THE COFFEE INN,MANHATTAN,1 AVENUE,Caf̩/Coffee/Tea,11.0,A,06/30/2014,high income
SALVO'S,MANHATTAN,YORK AVENUE,Pizza/Italian,17.0,B,09/25/2014,high income
OLLIES TO GO,MANHATTAN,BROADWAY,Chinese/Japanese,17.0,B,12/23/2015,high income
MARGHERITA'S PIZZA,BRONX,EAST  163 STREET,Pizza,12.0,A,03/31/2015,low income
ROVE,QUEENS,AUSTIN ST,American,7.0,A,06/06/2017,medium income
CHIPOTLE MEXICAN GRILL,MANHATTAN,3 AVENUE,Tex-Mex,13.0,A,11/18/2014,high income
ZEF CAFE,MANHATTAN,BOWERY,American,7.0,A,12/23/2016,high income
SOUTHSIDE CAFE (Produce Market),BRONX,HUNTS POINT TERMINAL MARKET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,08/24/2016,low income
FAY DA BAKERY,QUEENS,KISSENA BOULEVARD,Bakery,7.0,A,10/05/2016,low income
OM INDIAN RESTAURANT,MANHATTAN,2 AVENUE,Indian,37.0,Z,07/06/2017,high income
THE AMBASSADOR GRILL AND LOUNGE,MANHATTAN,UNITED NATIONS PLAZA,American,11.0,A,11/07/2016,high income
LILLI AND LOO,MANHATTAN,LEXINGTON AVENUE,Asian,11.0,A,04/14/2015,high income
NELLY'S CAFE,QUEENS,37 AVENUE,Spanish,12.0,A,08/04/2014,medium income
BROOK AVENUE DELI & PIZZA,BRONX,BROOK AVENUE,Pizza,9.0,A,09/10/2014,low income
MON CHER MARKET,MANHATTAN,BROADWAY,American,9.0,A,02/24/2015,high income
FOREST HILLS BAGELS,QUEENS,QUEENS BOULEVARD,American,13.0,A,01/08/2016,medium income
ATERA,MANHATTAN,WORTH STREET,American,13.0,A,10/22/2013,high income
MCDONALD'S,BRONX,EAST TREMONT AVENUE,Hamburgers,9.0,A,05/18/2016,low income
T-BONE DINER,QUEENS,QUEENS BOULEVARD,American,10.0,A,04/08/2015,medium income
OBAO,MANHATTAN,EAST   53 STREET,Thai,13.0,A,05/25/2016,high income
LA COLOMBE TORREFACTION,MANHATTAN,CHURCH STREET,Caf̩/Coffee/Tea,12.0,A,08/04/2016,high income
WING WAGON,BROOKLYN,FLATBUSH AVENUE,American,12.0,A,03/05/2015,medium income
TROPICAL 128,MANHATTAN,ELIZABETH STREET,American,27.0,B,04/21/2015,high income
NICE MATIN,MANHATTAN,WEST   79 STREET,American,7.0,A,08/25/2016,high income
A SAFFRON THREAD,MANHATTAN,CHAMBERS STREET,Indian,13.0,A,09/30/2014,high income
WO HOP CITY,MANHATTAN,MOTT STREET,Chinese,17.0,B,11/15/2014,high income
SALAAM BOMBAY,MANHATTAN,GREENWICH STREET,Indian,13.0,A,12/28/2015,high income
FINESTRA,MANHATTAN,YORK AVENUE,Italian,11.0,A,12/08/2014,high income
MY PIE,MANHATTAN,LEXINGTON AVENUE,Pizza,12.0,A,09/22/2016,high income
TIFFANY & COMPANY,MANHATTAN,5 AVENUE,American,3.0,A,03/05/2014,high income
SHANGHAI HEPING RESTAURANT,MANHATTAN,MOTT STREET,Chinese,12.0,A,08/10/2015,high income
MON CHER MARKET,MANHATTAN,BROADWAY,American,13.0,A,08/05/2016,high income
GYU-KAKU,MANHATTAN,3 AVENUE,Japanese,14.0,B,08/06/2015,high income
PHO BANG RESTAURANT,MANHATTAN,MOTT STREET,Vietnamese/Cambodian/Malaysia,47.0,C,05/14/2014,high income
DAILY PRESS BED-STUY,BROOKLYN,FRANKLIN AVENUE,Caf̩/Coffee/Tea,5.0,A,04/23/2016,medium income
HALE & HEARTY SOUP,MANHATTAN,LEXINGTON AVENUE,Soups & Sandwiches,7.0,A,01/29/2016,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,10.0,A,05/12/2015,high income
THE COTTAGE,MANHATTAN,AMSTERDAM AVENUE,Chinese,26.0,B,06/30/2016,high income
NESPRESSO,MANHATTAN,MADISON AVENUE,Caf̩/Coffee/Tea,12.0,A,03/02/2015,high income
OXFORD CAFE,MANHATTAN,EAST   59 STREET,Delicatessen,11.0,A,04/27/2016,high income
THE NEW AMITY RESTAURANT,MANHATTAN,MADISON AVENUE,American,13.0,A,05/20/2016,high income
SERENDIPITY 3,MANHATTAN,EAST   60 STREET,American,8.0,A,03/10/2016,high income
LE PAIN QUOTIDIEN,MANHATTAN,EAST   53 STREET,Sandwiches,5.0,A,07/08/2014,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,9.0,A,10/09/2015,high income
UMBERTO'S CLAM HOUSE,MANHATTAN,MULBERRY STREET,Italian,12.0,A,11/13/2014,high income
FRANKLIN PARK/DUTCH BOY BURGER,BROOKLYN,ST JOHNS PLACE,American,19.0,B,06/12/2014,medium income
OSLO COFFEE ROASTERS,MANHATTAN,EAST   75 STREET,Caf̩/Coffee/Tea,11.0,A,01/25/2017,high income
TOAD HALL,MANHATTAN,GRAND STREET,American,11.0,A,10/21/2014,high income
APHRODITES SWEETS,QUEENS,FRANCIS LEWIS BOULEVARD,Bakery,13.0,A,03/03/2016,medium income
MAYFIELD,BROOKLYN,FRANKLIN AVENUE,American,12.0,A,11/22/2014,medium income
APPLEBEE'S,QUEENS,26 AVENUE,American,8.0,A,01/13/2016,medium income
KENNEDY FRIED CHICKEN,BRONX,GRAND CONCOURSE,Chicken,10.0,A,12/07/2016,low income
CITIBANK EMPLOYEE CAFETERIA,QUEENS,COURT SQUARE,American,12.0,A,01/14/2015,medium income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,10.0,A,12/23/2015,high income
PRET A MANGER,MANHATTAN,BROADWAY,Sandwiches,7.0,A,07/03/2014,high income
SUBWAY,MANHATTAN,CHURCH STREET,Sandwiches,18.0,B,09/22/2014,high income
EAST BUFFET & RESTAURANT,QUEENS,MAIN STREET,Chinese,12.0,A,06/04/2016,low income
FOREST HILLS DINER,QUEENS,AUSTIN STREET,American,11.0,A,10/12/2016,medium income
TEA SHOP 168 & BAKERY,QUEENS,MAIN STREET,Chinese,37.0,C,09/09/2015,low income
SHAN DONG DUMPLING,MANHATTAN,MOSCO STREET,Chinese,2.0,A,02/23/2016,high income
BIG NOSE KATES,STATEN ISLAND,ARTHUR KILL ROAD,American,34.0,C,04/01/2015,medium income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,11.0,A,02/26/2014,high income
KING GRILL RESTAURANT,BRONX,EAST  169 STREET,Spanish,21.0,B,08/16/2016,low income
THE NEW THOMPSON DINER,QUEENS,QUEENS BOULEVARD,American,20.0,B,09/29/2016,medium income
COMPLETE BODY & SPA,MANHATTAN,EAST   57 STREET,American,10.0,A,05/12/2014,high income
HEARTLAND BAGELS 11,STATEN ISLAND,ROSSVILLE AVENUE,Caf̩/Coffee/Tea,5.0,A,06/07/2016,medium income
IL PICCOLO BUFALO,MANHATTAN,MULBERRY STREET,Italian,10.0,A,03/24/2016,high income
BEL AMI,MANHATTAN,EAST   68 STREET,French,9.0,A,12/11/2015,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,BROADWAY,Tex-Mex,9.0,A,06/03/2015,high income
CASA ADELA RESTAURANT,MANHATTAN,AVENUE C,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,10/29/2014,medium income
CHIPOTLE MEXICAN GRILL,MANHATTAN,BROADWAY,Mexican,9.0,A,02/01/2016,high income
BAGELS FOR YOU,QUEENS,QUEENS BOULEVARD,Bagels/Pretzels,12.0,A,06/21/2017,medium income
LINCOLN STATION,BROOKLYN,LINCOLN PLACE,American,10.0,A,05/18/2017,medium income
LITTLE ITALY PIZZA,MANHATTAN,5 AVENUE,Pizza,12.0,A,12/04/2015,high income
WING WAGON,BROOKLYN,FLATBUSH AVENUE,American,3.0,A,09/25/2014,medium income
ANTONIO'S PIZZA,BROOKLYN,FLATBUSH AVENUE,Pizza,11.0,A,07/14/2016,medium income
MCDONALD'S,BROOKLYN,BROADWAY,Hamburgers,13.0,A,07/17/2017,high income
DORO'S JAMAICAN RESTAURANT,BRONX,EAST  165 STREET,Caribbean,7.0,A,07/15/2015,low income
OBAO,MANHATTAN,EAST   53 STREET,Thai,13.0,A,01/15/2015,high income
FUSION,QUEENS,STEINWAY STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,02/17/2017,medium income
THE BURGER GARAGE,QUEENS,JACKSON AVENUE,Hamburgers,11.0,A,01/05/2015,medium income
SUBWAY,MANHATTAN,LEXINGTON AVENUE,Sandwiches,7.0,A,06/11/2015,high income
THE DAKOTA BAR,MANHATTAN,WEST   72 STREET,American,8.0,A,03/19/2015,high income
WALKER'S RESTAURANT,MANHATTAN,NORTH MOORE STREET,American,5.0,A,01/19/2017,high income
TACO KING,QUEENS,108 STREET,Tex-Mex,9.0,A,08/10/2015,medium income
E NOODLE HOUSE,QUEENS,KISSENA BLVD,Chinese,9.0,A,09/08/2016,low income
BILLIARD COMPANY,QUEENS,AUSTIN STREET,American,7.0,A,01/19/2017,medium income
SHOGUN,QUEENS,QUEENS BLVD,Japanese,7.0,A,09/13/2016,medium income
BURGER KING,BRONX,JEROME AVENUE,Hamburgers,9.0,A,02/02/2017,low income
PRET A MANGER,MANHATTAN,3 AVENUE,Sandwiches,11.0,A,09/15/2015,high income
RED HOUSE RESTAURANT,BRONX,CLAREMONT PARKWAY,Chinese,7.0,A,02/04/2015,low income
INDIAN TANDOOR OVEN,MANHATTAN,EAST   83 STREET,Indian,7.0,A,08/13/2014,high income
THE AMBASSADOR GRILL AND LOUNGE,MANHATTAN,UNITED NATIONS PLAZA,American,12.0,A,04/10/2014,high income
HOT BIALYS & BAGELS,QUEENS,QUEENS BOULEVARD,Bagels/Pretzels,6.0,A,04/19/2017,medium income
PARIS BAGUETTE,MANHATTAN,BROADWAY,French,9.0,A,07/28/2017,high income
LAS PALMAS BAKERY,BRONX,JEROME AVENUE,Bakery,12.0,A,03/02/2017,low income
PITA GRILL,MANHATTAN,2 AVENUE,Jewish/Kosher,12.0,A,05/30/2017,high income
DUNKIN' DONUTS,BRONX,3 AVENUE,Donuts,12.0,A,06/17/2015,high income
MAMMA'S FAMOUS PIZZA & BURGERS,MANHATTAN,BROADWAY,Pizza,12.0,A,12/11/2014,high income
EVERYDAY GOURMET DELI,MANHATTAN,LEXINGTON AVENUE,American,12.0,A,01/09/2015,high income
GEORGE KEELEY,MANHATTAN,AMSTERDAM AVENUE,American,12.0,A,05/06/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,13.0,A,02/01/2016,high income
MARK FORGIONE,MANHATTAN,READE STREET,American,27.0,B,11/12/2014,high income
NEW WOK,BRONX,BROOK AVENUE,Chinese,12.0,A,04/18/2017,low income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,5.0,A,12/12/2014,high income
JOY CURRY & TANDOOR,MANHATTAN,EAST   46 STREET,Indian,8.0,A,08/24/2016,high income
NB. NATIONAL BAKERY,BRONX,WALTON AVENUE,Bakery,9.0,A,08/23/2016,low income
SNAFU,MANHATTAN,EAST   47 STREET,American,10.0,A,04/01/2014,high income
SUBWAY,MANHATTAN,BROADWAY,Sandwiches/Salads/Mixed Buffet,13.0,A,06/12/2014,high income
FENG'S GARDEN,QUEENS,QUEENS BOULEVARD,Chinese,12.0,A,05/08/2014,medium income
PULQUERIA,MANHATTAN,DOYERS STREET,Mexican,11.0,A,07/21/2015,high income
RED HOUSE KITCHEN,QUEENS,YELLOWSTONE BOULEVARD,Chinese,9.0,A,02/27/2017,medium income
METROPOLITAN CLUB,MANHATTAN,EAST   60 STREET,American,11.0,A,08/01/2016,high income
SIRENAS,BRONX,JEROME AVENUE,Tex-Mex,24.0,B,08/23/2016,low income
FORLINIS RESTAURANT,MANHATTAN,BAXTER STREET,Italian,9.0,A,12/15/2014,high income
PANCHO VILLA RESTAURANT,BRONX,JEROME AVENUE,Mexican,12.0,A,05/09/2017,low income
LA BELLEZZA PIZZERIA,MANHATTAN,BROADWAY,Pizza,10.0,A,06/23/2017,high income
ELI'S TABLE,MANHATTAN,3 AVENUE,American,12.0,A,04/14/2014,high income
DAVIO'S NORTHERN ITALIAN STEAKHOUSE,MANHATTAN,LEXINGTON AVENUE,Italian,13.0,A,08/20/2015,high income
THE INTERNATIONAL CULINARY INSTITUTE,MANHATTAN,BROADWAY,American,4.0,A,06/06/2017,high income
COZY CORNER/CHICKEN LOVER,MANHATTAN,2 AVENUE,Delicatessen,13.0,A,02/06/2015,high income
SUBWAY,QUEENS,QUEENS BLVD,Sandwiches,12.0,A,09/29/2016,medium income
TROPICAL II RESTAURANT,QUEENS,GREENPOINT AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,03/23/2016,medium income
CROWN FRIED CHICKEN,MANHATTAN,AVENUE D,Chicken,16.0,B,04/11/2017,medium income
STARBUCKS,MANHATTAN,AVENUE OF THE AMERICAS,American,9.0,A,01/23/2015,high income
GREEN TEA DELI,QUEENS,41 AVENUE,Delicatessen,12.0,A,01/23/2017,medium income
KING FOOD,MANHATTAN,AMSTERDAM AVENUE,Chinese,17.0,B,02/23/2015,high income
GIRELLO,MANHATTAN,NORTH MOORE STREET,Italian,13.0,A,05/22/2017,high income
NAPLES 45 RESTAURANT,MANHATTAN,PARK AVENUE,Italian,12.0,A,04/10/2015,high income
EATS,MANHATTAN,LEXINGTON AVENUE,American,18.0,B,09/28/2015,high income
SOCARRAT EAST,MANHATTAN,2 AVENUE,Spanish,37.0,C,01/10/2017,high income
SWEET BASIL,BROOKLYN,FRANKLIN AVENUE,Thai,12.0,A,01/08/2015,medium income
GENA'S GRILL,MANHATTAN,1 AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",25.0,B,06/19/2017,medium income
BAKER STREET PUB,MANHATTAN,1 AVENUE,American,11.0,A,11/21/2014,high income
MIKES PIZZA,QUEENS,YELLOWSTONE BOULEVARD,Pizza/Italian,21.0,B,05/22/2014,medium income
JING FONG RESTAURANT,MANHATTAN,ELIZABETH STREET,Chinese,11.0,A,05/25/2016,high income
LITTLE ITALY PIZZA,MANHATTAN,PARK PLACE,Pizza,13.0,A,12/26/2014,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,13.0,A,03/03/2017,high income
CENTRAL MARKET NEW YORK,MANHATTAN,VANDERBILT AVENUE,Italian,7.0,A,02/22/2016,high income
SETTE MEZZO,MANHATTAN,LEXINGTON AVENUE,Italian,9.0,A,05/17/2016,high income
MARIO'S SNACK SHOP,BRONX,TELLER AVENUE,American,6.0,A,11/10/2015,low income
CAFE HENRI,QUEENS,50 AVENUE,French,13.0,A,01/24/2017,medium income
SOFIA'S LITTLE ITALY,MANHATTAN,MULBERRY STREET,Italian,11.0,Z,08/11/2017,high income
ZIOTOTO RESTAURANTE & BAR,STATEN ISLAND,PAGE AVENUE,Italian,10.0,A,02/03/2015,medium income
XING SHENG,BRONX,FEATHERBED LANE,Chinese,9.0,A,01/22/2015,low income
TASTY HAND-PULLED NOODLES,MANHATTAN,DOYERS STREET,Chinese,25.0,B,07/28/2014,high income
LIBERATO RESTAURANT,BRONX,WEST  183 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3.0,A,03/27/2015,low income
GOOD TASTE RESTAURANT,QUEENS,29 STREET,Chinese,8.0,A,01/31/2017,medium income
E.A.T. CAFE,MANHATTAN,MADISON AVENUE,American,7.0,A,11/09/2016,high income
SEL ET POIVRE RESTAURANT,MANHATTAN,LEXINGTON AVENUE,French,11.0,A,12/24/2014,high income
CAFFE BACIO,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,12.0,A,04/06/2017,high income
APOTHEKE/CHEMIST,MANHATTAN,DOYERS STREET,American,9.0,A,01/13/2016,high income
FRESCO ON THE GO,MANHATTAN,EAST   52 STREET,American,13.0,A,08/15/2014,high income
SUNRISE MART,MANHATTAN,EAST   41 STREET,Japanese,12.0,A,08/25/2016,high income
THE NATIONAL,MANHATTAN,EAST   50 STREET,American,12.0,A,05/05/2017,high income
KING GRILL RESTAURANT,BRONX,EAST  169 STREET,Spanish,29.0,C,06/18/2015,low income
HIDE CHAN RAMEN,MANHATTAN,EAST   52 STREET,Japanese,11.0,A,04/21/2015,high income
ITALIANISSIMO RISTORANTE,MANHATTAN,EAST   84 STREET,Italian,13.0,A,05/04/2016,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,PARK AVENUE,Tex-Mex,11.0,A,04/14/2017,high income
SUBWAY,MANHATTAN,1 AVENUE,Sandwiches,7.0,A,02/14/2014,high income
SUBWAY,QUEENS,BROADWAY,Sandwiches,2.0,A,06/30/2017,high income
NEW EMPIRE KITCHEN,QUEENS,UTOPIA PARKWAY,Chinese,2.0,A,06/04/2014,medium income
OSTERIA SERAFINA,MANHATTAN,EAST   58 STREET,Italian,9.0,A,03/10/2015,high income
BETH TORAH KOSHER CATERERS,QUEENS,QUEENS BOULEVARD,Jewish/Kosher,9.0,A,05/15/2017,medium income
FRIARS NATIONAL ASSOC.,MANHATTAN,EAST   55 STREET,American,12.0,A,11/09/2016,high income
WHITE CASTLE,BRONX,WEBSTER AVENUE,Hamburgers,10.0,A,10/03/2015,low income
MCDONALD'S,MANHATTAN,3 AVENUE,Hamburgers,13.0,A,03/08/2016,high income
MCDONALD'S,MANHATTAN,3 AVENUE,Hamburgers,13.0,A,03/08/2016,low income
CAFFEINA ESPRESSO BAR,QUEENS,23 STREET,Caf̩/Coffee/Tea,11.0,A,06/16/2017,medium income
MUGI BAKERY,QUEENS,KISSENA BOULEVARD,Bakery,12.0,A,12/15/2014,low income
STARBUCKS,MANHATTAN,MADISON AVENUE,Caf̩/Coffee/Tea,9.0,A,03/24/2015,high income
TROPICAL II RESTAURANT,QUEENS,GREENPOINT AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,05/07/2014,medium income
JIN FENG FISH BALL,QUEENS,MAIN STREET,Chinese,10.0,A,04/11/2017,low income
AKI SUSHI,MANHATTAN,YORK AVE,Japanese,60.0,C,09/04/2014,high income
